Thickness (mm),Rate (N/s),Std Dev
0,9.44,0.5770615219
0.49,7.46,1.365375406
0.6,7.5,0.8796306043
0.8,7.03,0.5179285665
0.96,6.93,0.4147288271
1.09,6.83,0.7718484307
1.25,7.43,0.433877863
1.29,7.13,0.2706473721
1.4,6.88,0.1680773631
1.46,7.19,0.5389805191
1.58,6.86,0.4006245125
1.74,7.05,0.8388980868
1.85,7.08,0.47644517
1.96,6.71,0.6137996416
2.22,5.73,0.6960603422
2.57,6.06,0.4992494367
2.76,5.88,0.5263078947
2.92,6.4,0.3409545424
3.08,6.04,0.724913788
3.57,6.59,0.3029026246
3.68,5.97,0.8408329204
3.88,5.6,0.8023403268
4.04,5.74,0.945647926
4.17,5.72,0.3946517452
4.33,6.14,0.5877924804
4.37,6.7,0.3409545424
4.48,6.1,0.7640353395
4.53,5.76,0.6599242381
4.66,6.37,0.4353159772
4.82,5.92,0.5641365083
4.93,5.9,0.7331439149
5.04,6.24,0.378153408
5.3,6.14,0.4114000486
5.65,5.95,0.6566962768
5.84,5.77,0.4309872388
6,6,0.5533985905
